編號,科目,主題,七大原則,繁體中文,英文全名,英文縮寫,英文發音,核心目標,核心原理,定義,用途,應用場景,氣象與防災,農業漁業與畜牧,交通與物流,生產與製造（工業4.0）,科技金融與醫學,客服零售與生活,消防與公共安全
75,"初科二

中科一",生成式 AI,透明與可解釋,變壓器架構,Transformer,-,FALSE,全域關係處理,自注意力機制,基於注意力機制拋棄循環結構，可並行處理序列數據的現代架構。,NLP 與生成式 AI 基礎,LLM (如 GPT) 的核心底層架構。,氣象預報：多站氣象數據關聯建模；長序列氣溫趨勢預測,農業報告語意摘要；農業政策法規文件自動解析,智慧物流：運輸訂單文字意圖理解；交通事故報告自動分析,製程優化：製造設備日誌語意分析；異常描述文字分類,金融科技：金融報告語意理解；智慧醫療：病歷/診斷報告文字摘要,智能客服：用戶意圖理解；個人化推薦：評論語意分析,公共安全：社群媒體災情文字解析；緊急求救訊號意圖識別
76,"初科二

中科一",生成式 AI,透明與可解釋,自注意力機制,Self-Attention,-,FALSE,評估詞間關聯,加權關聯權重,計算序列內各元素間的相互關係權重，自動對焦於重點。,捕捉上下文語意,辨別「他在吃飯」中「他」與「飯」的關係。,氣象預報：多站氣象數據關聯建模；長序列氣溫趨勢預測,農業報告語意摘要；農業政策法規文件自動解析,智慧物流：運輸訂單文字意圖理解；交通事故報告自動分析,製程優化：製造設備日誌語意分析；異常描述文字分類,金融科技：金融報告語意理解；智慧醫療：病歷/診斷報告文字摘要,智能客服：用戶意圖理解；個人化推薦：評論語意分析,公共安全：社群媒體災情文字解析；緊急求救訊號意圖識別
77,中科一,深度學習,透明與可解釋,編碼器-解碼器,Encoder-Decoder,-,FALSE,序列到序列轉換,特徵壓縮與還原,一端將輸入壓縮為向量，另一端根據向量還原生成輸出。,翻譯與摘要,機器翻譯、圖像標註生成。,環境監控：跨國氣象報告即時翻譯,農業技術：國際農業研究文獻自動翻譯,智慧物流：跨國運輸文件多語翻譯,製程優化：國際設備維修手冊即時翻譯,智慧醫療：國際醫學文獻快速翻譯輔助研究,智能客服：多語言24H客服機器人翻譯支援,公共安全：外籍人士緊急求救語言即時翻譯
78,"初科二

中科一",生成式 AI,公平性,生成對抗網絡,Generative Adversarial Net,GAN,FALSE,模擬真實分布,雙模型博弈,由生成器與鑑別器相互競爭，生成足以亂真的虛擬數據。,數據增強與修補,深偽技術、合成醫學影像訓練。,,,,,智慧醫療：醫學影像輔助判讀（X光/MRI）、新藥開發篩選、個人化健康管家（核心場景）,智慧生活：健康管家APP個人化衛教建議,消防：救災傷患傷勢快速評估輔助
79,初科二,生成式 AI,透明與可解釋,擴散模型,Diffusion Model,-,FALSE,逐步去噪生成,逆向去噪過程,透過在數據中加入雜訊並學習如何逆向還原，生成高品質圖像。,圖像生成,Midjourney、Stable Diffusion 核心技術。,,,,,,,
80,中科一,電腦視覺,永續發展與福祉,物件偵測,Object Detection,-,FALSE,定位與分類,邊界框預測,識別影像中的物體位置並標示出類別名稱（如「車：0.9」）。,環境感知,自動駕駛障礙物識別、安防監控。,災害監測：無人機掃描洪水/土石流邊界；環境監控：衛星圖自動圈出受災範圍,智慧耕作：無人機識別農田病蟲害感染區；精準養殖：魚塭漂浮異物即時偵測,智慧交通：違規停車自動拍照舉牌；智慧物流：AGV機器人障礙物即時閃避,品質檢測：AOI光學系統標記瑕疵座標；預測性維護：零件磨損位置辨識,智慧醫療：CT/MRI影像腫瘤候選框定輔助；半導體：晶圓表面缺陷自動標記,智慧零售：無人商店商品掃描自動結帳；貨架缺貨狀態即時偵測,智慧消防：熱像儀畫面定位受困人員；公共安全：監視器異常聚集告警
81,中科一,電腦視覺,永續發展與福祉,語義分割,Semantic Segmentation,-,FALSE,像素級類別標記,逐像素分類,將影像中每個像素分配到特定類別，但不區分同類別的不同個體。,精確環境感知,自動駕駛道路邊界識別、衛星影像地物分類。,災害監測：衛星圖像素級洪水範圍標定；PM2.5高污染區域熱點圖,智慧耕作：農田土地利用類型分割（作物/雜草/裸地）；病害感染面積測量,自駕與輔助：道路/人行道/標線語義標記供ADAS感知,品質檢測：PCB電路板佈線缺陷範圍精確分割,智慧醫療：腫瘤/器官邊界勾勒輔助手術規劃,智慧生活：AR虛擬試穿人體輪廓分割,智慧消防：火場煙霧/火焰像素範圍分割；逃生路徑辨識
82,中科一,電腦視覺,永續發展與福祉,實例分割,Instance Segmentation,-,FALSE,區分同類個體,偵測 + 分割結合,不僅標記類別，還能將同一類別中的不同個體（如兩個人）區分開來。,複雜場景解析,醫學影像中多個腫瘤的獨立計數與量測。,災害監測：無人機掃描洪水/土石流邊界；環境監控：衛星圖自動圈出受災範圍,智慧耕作：無人機識別農田病蟲害感染區；精準養殖：魚塭漂浮異物即時偵測,智慧交通：違規停車自動拍照舉牌；智慧物流：AGV機器人障礙物即時閃避,品質檢測：AOI光學系統標記瑕疵座標；預測性維護：零件磨損位置辨識,智慧醫療：CT/MRI影像腫瘤候選框定輔助；半導體：晶圓表面缺陷自動標記,智慧零售：無人商店商品掃描自動結帳；貨架缺貨狀態即時偵測,智慧消防：熱像儀畫面定位受困人員；公共安全：監視器異常聚集告警
83,"初科一

中科一",電腦視覺,永續發展與福祉,影像分類,Image Classification,-,FALSE,判定影像主題,特徵提取與分類,給定一張圖片，判定其屬於哪一個預定義的類別（如「貓」）。,快速自動標籤,手機相簿自動分類、工業瑕疵檢測。,氣象預報：衛星雲型分類（颱風眼/積雨雲）；空污：AQI等級影像分級,智慧耕作：作物品種/生長階段自動分類；精準養殖：魚種健康狀態分級,智慧物流：快遞包裹損壞等級分類；交通違規類型自動歸類,品質檢測：瑕疵類型（裂紋/刮傷/色差）分類統計,智慧醫療：皮膚病變/眼底影像疾病分類；X光異常篩選,智慧零售：商品類別自動辨識上架；人臉年齡層分類個人化服務,公共安全：監視器可疑物品類型辨識；消防：燃料類型判斷
84,中科一,電腦視覺,永續發展與福祉,光學字元辨識,Optical Character Recognition,OCR,FALSE,文字數位化,圖像預處理與字元匹配,將影像中的手寫或列印文字轉換為機器編碼文字的技術。,數位文件轉檔,銀行自動辨識支票、自動辨識車牌。,環境監控：氣象站儀表板數字自動讀取數位化,精準養殖：水質感測器讀值自動記錄,智慧交通：車牌自動辨識（停車計費/違規舉牌）；物流：包裹條碼讀取,品質檢測：產品序號/批號自動讀取紀錄,金融科技：票據/合約文字自動擷取；智慧醫療：病歷表格數位化,智慧零售：電子發票/收據文字辨識,公共安全：車牌辨識輔助警方追蹤
85,"初科一

中科一",電腦視覺,隱私保護,人臉辨識,Face Recognition,-,FALSE,身份身分驗證,生物特徵向量對比,透過分析臉部特徵向量來識別或驗證個人身份的技術。,安全與考勤管理,手機解鎖、海關快速過關。,,畜牧管理：牛隻個體臉部識別追蹤（乳牛個體健康管理）,自駕與輔助：疲勞駕駛臉部特徵偵測（眼皮閉合角度）,製程優化：廠區人員身份核驗，防止未授權進入,金融科技：ATM/網銀人臉身份核實；健康管家：情緒健康狀態辨識,智慧零售：販賣機顧客年齡/性別分析精準推薦,公共安全：協尋失蹤/通緝人員特徵比對；刑事案件追查
86,中科一,物件偵測,永續發展與福祉,YOLO 演算法,You Only Look Only,YOLO,FALSE,即時物件偵測,單階段偵測架構,將偵測視為迴歸問題，僅需一次掃描即可完成定位與分類，速度極快。,實時監控與反應,無人機即時目標追蹤、產線即時異物偵測。,災害監測：無人機掃描洪水/土石流邊界；環境監控：衛星圖自動圈出受災範圍,智慧耕作：無人機識別農田病蟲害感染區；精準養殖：魚塭漂浮異物即時偵測,智慧交通：違規停車自動拍照舉牌；智慧物流：AGV機器人障礙物即時閃避,品質檢測：AOI光學系統標記瑕疵座標；預測性維護：零件磨損位置辨識,智慧醫療：CT/MRI影像腫瘤候選框定輔助；半導體：晶圓表面缺陷自動標記,智慧零售：無人商店商品掃描自動結帳；貨架缺貨狀態即時偵測,智慧消防：熱像儀畫面定位受困人員；公共安全：監視器異常聚集告警
87,"初科二

中科一",NLP,永續發展與福祉,自然語言理解,Natural Language Understanding,NLU,FALSE,解析語言意圖,語意與語法分析,使機器能理解人類語言背後的意圖、實體及上下文語境。,溝通意圖識別,智慧音箱指令解析（如「幫我設定鬧鐘」）。,環境監控：社群媒體災情通報文字意圖解析,智慧耕作：農民語音/文字諮詢問題理解,智慧交通：客服語音指令解析（查詢班次/報修）,製程優化：操作員語音設備指令識別,智慧醫療：問診意圖識別；金融：核貸申請書意圖分析,智能客服：24H語音機器人指令理解核心技術,公共安全：110/119緊急求救語音意圖快速解析
88,"初科二

中科一",NLP,永續發展與福祉,自然語言生成,Natural Language Generation,NLG,FALSE,生成流暢文本,統計語言模型/Transformer,將結構化數據或思想轉換為自然語言文本的技術。,自動撰寫報告,AI 寫作助手、新聞簡報自動生成。,氣象預報：數值預報結果自動轉換為人讀氣象公報,智慧耕作：農業異常感測自動生成告警簡訊,智慧物流：配送狀態自動生成通知訊息,品質檢測：瑕疵報告自動文字生成,智慧醫療：影像判讀結果自動生成醫師報告草稿；金融：理財建議書自動產出,智能客服：AI郵件/聊天訊息自動回覆生成,公共安全：災情通報自動生成廣播稿
89,中科三,NLP,透明與可解釋,詞嵌入,Word Embedding,-,FALSE,詞語向量化,語意空間映射 (Word2Vec),將詞語映射至高維向量空間，使語意相近的詞在空間中距離較近。,語意特徵表示,搜尋引擎相關性推算、情緒分析。,,,,,,,
90,中科二,資料預處理,透明與可解釋,斷詞/標記化,Tokenization,-,FALSE,最小語意單位切分,字串分割演算法,將原始文本切分成最小的有意義單位（Token，如單字或詞彙）。,文本特徵提取,中文斷詞處理（如使用 Jieba）。,,,,,,,
91,中科二,資料預處理,透明與可解釋,停用詞移除,Stop Words Removal,-,FALSE,去除高頻無義詞,關鍵詞過濾,移除對語意貢獻極低的高頻詞（如「的」、「了」、「and」）。,提升運算效率,文本摘要、情感極性判斷。,,,,,,,
92,中科一,NLP,透明與可解釋,詞性標註,Part-of-Speech Tagging,POS,FALSE,標註文法角色,隱藏馬可夫模型/RNN,自動識別文本中每個詞的語法功能（如動詞、名詞、形容詞）。,句法分析,輔助機器翻譯語法結構調整。,環境監控：跨國氣象報告即時翻譯,農業技術：國際農業研究文獻自動翻譯,智慧物流：跨國運輸文件多語翻譯,製程優化：國際設備維修手冊即時翻譯,智慧醫療：國際醫學文獻快速翻譯輔助研究,智能客服：多語言24H客服機器人翻譯支援,公共安全：外籍人士緊急求救語言即時翻譯
93,中科一,NLP,隱私保護,命名實體識別,Named Entity Recognition,NER,FALSE,識別關鍵資訊,序列標註技術,從文本中識別出特定類別的實體（如人名、地名、組織名、日期）。,資訊檢索與去識別化,合約關鍵資訊提取、個資自動遮蔽。,環境監控：新聞中災害地點/時間/規模資訊自動擷取,農業報告：病蟲害名稱/地區/日期關鍵實體提取,智慧物流：訂單文字中收件人/地址/日期自動識別,品質管理：設備故障日誌中零件名稱/時間提取,智慧醫療：病歷中藥物名稱/症狀/檢查項目識別；合約關鍵條款提取,智能客服：訂單查詢中商品名/編號自動識別,公共安全：失蹤者特徵描述中姓名/特徵提取
94,"初科二

中科一",NLP,永續發展與福祉,情感分析,Sentiment Analysis,-,FALSE,判定心理傾向,分類演算法,分析文本中所表達的情緒極性（正向、負向、中立）。,輿情監測,社群媒體口碑分析、客服品質評估。,環境監控：民眾對空污/水質不滿情緒輿情監測,,智慧交通：乘客對大眾運輸服務滿意度分析,,金融科技：財經新聞正負面情緒影響股市預測,智慧零售：商品評論情緒分析（正/負/中立）；客服品質評估,公共安全：社群媒體恐慌輿情即時監測
95,"初科一

中科一",NLP,永續發展與福祉,機器翻譯,Machine Translation,MT,FALSE,跨語言自動轉換,神經機器翻譯 (NMT),利用 AI 自動將一種語言的文本或語音轉換為另一種語言。,跨國溝通,即時口譯 App、網頁全文翻譯。,環境監控：跨國氣象報告即時翻譯,農業技術：國際農業研究文獻自動翻譯,智慧物流：跨國運輸文件多語翻譯,製程優化：國際設備維修手冊即時翻譯,智慧醫療：國際醫學文獻快速翻譯輔助研究,智能客服：多語言24H客服機器人翻譯支援,公共安全：外籍人士緊急求救語言即時翻譯
